Country Code,Post,Comment,Date,Sentiment_Value,Sentiment
PRT,Assédio no metro,"The first piece of advice is: try to choose a neutral place on the subway - against the wall or door; faces people.

second: these situations are really difficult because you are probably the only person who saw/felt them. you can try to say something: stop touching me; can you give me space?

It's really sad that you have to go through this. Good luck and be careful.",2023-08-15 22:46:32,0.04375,Positive
PRT,Assédio no metro,"Wow, how disgusting, how is it possible for there to be people with this need wtf... what world are we in? Never shut up, it's the least you can do, do it. But don't be silent",2023-08-16 00:52:30,-0.2833333333333333,Negative
PRT,Assédio no metro,I happened to be in a bathroom on Continente and see a guy peeking out from under the door.,2023-08-16 01:14:16,0.0,Neutral
PRT,Assédio no metro,"Just thinking that could be my sister in your situation. Where we've come as a society, and then reading that you're 17, people should be ashamed. As others have said in the comments, the best thing to do is say something like: get there, get out of my space or keep your hands to yourself. I think you shouldn't be the one to change your life and your journey just because of some perverts on the train. When you don't know who it was, it's more complicated, but don't be afraid to impose yourself. When this happens to you, you are so guilty that you are harassed like those who know it happened and do nothing.",2023-08-16 02:56:57,-0.019999999999999997,Negative
PRT,Assédio no metro,"It's about shouting loudly: to the gentleman who just groped me, he should fall to the subway line before repeating the joke again. Or make your penis rot.

It's organizing a protest of girls in bucket skirts and bras with peaks and lady's pins in hand, taking up successive round trips for one night.",2023-08-16 08:59:53,-0.05,Negative
PRT,Assédio no metro,"I swear I don't understand these people. There's a guy on the subway, clinging to his backpack, hands in his pockets, doing literally everything to avoid touching others for FEAR that a touch/brush of his backpack or elbow will seem like something it's not to the other person.

And then you have troglodytes doing exactly that without any shame. Screw this.

I'm sorry you have to go through this... unfortunately other than changing transport, or using tactics like having your back to the wall and facing people, there's little you can do... the metro had to have a measure against this shit, but I don't even know what...",2023-08-16 10:25:20,-0.0484375,Negative
PRT,Assédio no metro,"My advice is very vintage.

My grandmother taught my mother how to walk with a pin on her lapel. When one of those disgusting people approached, she stabbed the bastard in the leg and he silently walked away.",2023-08-16 12:25:44,-0.26666666666666666,Negative
PRT,Assédio no metro,"These things really make me angry, you sons of bitches! Do they have no women in the family? Would you like them to do the same to you?",2023-08-16 00:09:42,-0.14166666666666666,Negative
PRT,Assédio no metro,"Books. Heavy books in a backpack, fantasy or academic type.

They are heavy enough and hard enough for the backpack to force you to make room and if the backpack is large it covers you up to your legs. And if someone smart still tries, you could teach them a painful lesson.

You can also pull it against your chest if they go to one of those areas…

At least that's what my colleagues did at university...",2023-08-16 06:50:00,-0.1239177489177489,Negative
PRT,Assédio no metro,"OP, I don't know if this is legal in PT, or if it's even something you can use: https://www.cnet.com/culture/anti-groping-hand-stamp-sells-out-within-first-hour- of-sale-in-japan/",2023-08-16 06:31:02,0.2,Positive
